id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
223360,0.152327,0.259518,1.4071,3046.74,1.40804,3048.11,8.1,3046.7,13.8,-175,117,127,117.1,11.79,1.408,0.0315741,0.604395,43.47,0.214169,43.47,0.604395,0.138383,0.252147,6.16595E+11,
223488,0.625387,0.19265,1.41646,3060.34,1.41583,3059.43,33.4,3060.14,10.29,-115,-73,165,-78,12.298,1.4158,0.390247,0.413098,80.6553,0,80.6553,0.413098,0.608384,0.184741,1.98609E+12,
223616,0.501821,0.957355,1.4066,3046.01,1.40314,3040.96,26.67,3045.47,50.89,-168,-84,-11,-431.7,11.385,1.4031,0.0282748,0.420073,7.59433,0.401427,7.59433,0.420073,0.484883,0.943396,2.42661E+11,
223744,0.568921,0.889909,1.41066,3051.92,1.41025,3051.31,30.3,3051.4,47.4,-23,-52,37,-51.6,11.384,1.4103,0.0160636,0.538926,55.914,0.391549,55.914,0.538926,0.550906,0.876033,2.42103E+11,
223872,1.046511,0.356954,1.40918,3049.77,1.40587,3044.94,55.7,3049.2,19,-98,-413,268,-413,11.701,1.4059,0.0222973,0.79771,-176.695,0.2716,-176.695,0.79771,1.025909,0.345271,5.02343E+11,
224000,1.110354,0.63039,1.40581,3044.86,1.40319,3041.04,59,3044.1,33.5,165,-327,-211,-326,12.315,1.4032,0.410754,0.197868,-74.1325,0,-74.1325,0.197868,1.088148,0.615853,2.06538E+12,
224128,1.432378,0.913391,1.40848,3048.74,1.40564,3044.61,76.2,3047.4,48.6,-260,-349,109,-353.6,11.582,1.4056,0.845965,0.787874,-147.666,0,-147.666,0.787874,1.41183,0.900297,3.81944E+11,
224256,0.524686,1.03984,1.40744,3047.23,1.40575,3044.77,27.9,3046.6,55.3,171,-212,15,-210.1,11.52,1.4058,0.0185414,0.300564,151.926,0.257839,151.926,0.300564,0.507187,1.024687,3.31131E+11,
224384,0.133692,1.865384,1.40551,3044.42,1.40825,3048.41,7.1,3042.8,99.1,60,335,175,340.7,12.069,1.4083,0.00285178,0.369594,-32.0301,0.271665,-32.0301,0.369594,0.120356,1.84671,1.1722E+12,Number density
224512,0.253105,1.793639,1.41452,3057.53,1.41571,3059.24,13.5,3056,95.7,213,125,672,146.9,12.002,1.4157,0.0107342,0.728445,45.5507,0.313699,45.5507,0.728445,0.237443,1.77584,1.00462E+12,
224640,0.377138,1.787529,1.41289,3055.15,1.41316,3055.54,20.1,3053.6,95.3,-446,23,429,33.4,11.572,1.4132,0.0524202,0.609714,-166.754,0.282323,-166.754,0.609714,0.359986,1.769904,3.7325E+11,
224768,1.04254,1.209056,1.40608,3045.26,1.40409,3042.36,55.4,3044.07,64.26,26,3,-88,-248,11.654,1.4041,0.0254382,0.607108,-109.707,0.321912,-109.707,0.607108,1.024952,1.193028,4.50817E+11,
224896,1.291715,1.107489,1.41109,3052.55,1.41054,3051.74,68.8,3051.2,59,-122,-71,232,-69.2,11.596,1.4105,0.0190727,0.668413,166.112,0.293607,166.112,0.668413,1.272287,1.092674,3.94457E+11,
225024,1.355216,1.412986,1.41187,3053.68,1.41204,3053.92,72.2,3051.9,75.3,-631,35,4,20.2,11.795,1.412,0.0019761,0.800772,-13.1476,0.0819158,-13.1476,0.800772,1.336306,1.398778,6.23735E+11,
225152,1.07809,1.746087,1.41083,3052.16,1.4127,3054.88,57.4,3050.2,93,-223,234,98,232.6,11.508,1.4127,0.00535087,0.332255,-175.131,0.108783,-175.131,0.332255,1.062363,1.730994,3.22107E+11,
225280,1.097168,1.510191,1.40913,3049.7,1.40652,3045.89,58.38,3048.08,80.37,55,-218,246,-326,13.202,1.4065,0.103306,0.373134,165.527,0.642918,165.527,0.373134,1.07825,1.494247,1.59221E+13,
225408,1.288038,1.973628,1.41136,3052.93,1.41263,3054.78,68.58,3050.35,105.14,245,43,71,158.2,11.924,1.4126,0.00663408,0.238674,-20.1442,0.272146,-20.1442,0.238674,1.272405,1.957209,8.3946E+11,
225536,1.629616,0.361875,1.41333,3055.8,1.41173,3053.48,86.9,3054.5,19.3,118,-203,181,-198.4,12.242,1.4117,0.013277,0.94243,-161.395,0.134836,-161.395,0.94243,1.606091,0.35078,1.74582E+12,
225664,2.134313,0.051062,1.40895,3049.42,1.40756,3047.41,113.57,3047.31,2.72,-47,484,383,-172.2,13.556,1.4076,0.27216,0.525714,-167.65,0,-167.65,0.525714,2.111965,0.042663,3.59749E+13,
225792,2.061111,0.40611,1.40759,3047.45,1.40623,3045.47,109.6,3045.4,21.6,32,-170,-55,-169.1,11.361,1.4062,0.00248733,0.745555,71.0683,0.0352278,71.0683,0.745555,2.038293,0.394923,2.29615E+11,
225920,1.695602,0.481774,1.40787,3047.86,1.40468,3043.2,90.18,3046.42,25.63,-401,-244,-33,-398.1,12.838,1.4047,0.00438709,0.957531,139.008,0.326811,139.008,0.957531,1.672097,0.469211,6.88652E+12,
226048,1.819067,0.692098,1.4147,3057.78,1.4129,3055.17,97.06,3056.02,36.94,-63,22,119,-223.4,11.583,1.4129,0.00315953,0.359023,-26.5292,0.0874676,-26.5292,0.359023,1.796236,0.678643,3.82825E+11,
